,left_vs_right,left_facing
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A01,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A02,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A03,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A04,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A05,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A06,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A07,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A08,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A09,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A10,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A11,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A12,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B01,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B02,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B03,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B04,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B05,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B06,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B07,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B08,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B09,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B10,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B011,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_B012,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C01,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C02,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C03,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C04,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C05,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C06,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C07,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C08,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C09,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C10,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C11,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_C12,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D01,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D02,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D03,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D04,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D05,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D06,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D07,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D08,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D09,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D10,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D11,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D12,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_E01,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_E02,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_E03,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E04,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E5,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E6,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E7,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E8,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E9,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E10,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E11,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E12,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F1,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F2,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F3,,left
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F4,,
PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_F5,,
