sample_name,abdominal,caudal,img_name,crosses,plates,wells
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A01.tif,95-1_Female_x_72-1_Male,plate1,A1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA10,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A10.tif,95-1_Female_x_72-1_Male,plate1,A10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA11_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA11,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A11.tif,95-1_Female_x_72-1_Male,plate1,A11
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA12_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA12,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A12.tif,95-1_Female_x_72-1_Male,plate1,A12
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA4,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A04.tif,95-1_Female_x_72-1_Male,plate1,A4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA5_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA5,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A05.tif,95-1_Female_x_72-1_Male,plate1,A5
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA6,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A06.tif,95-1_Female_x_72-1_Male,plate1,A6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA7,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A07.tif,95-1_Female_x_72-1_Male,plate1,A7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA8_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA8,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A08.tif,95-1_Female_x_72-1_Male,plate1,A8
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCA9,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_A09.tif,95-1_Female_x_72-1_Male,plate1,A9
