sample_name,abdominal,caudal,img_name,crosses,plates,wells,split
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB11_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCB11,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_B11.tif,11-2_Male_x_14-2_Female,plate24,B11,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG7_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG7,12,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G7.tif,11-2_Male_x_14-2_Female,plate23,G7,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCD10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCD10,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_D10.tif,11-2_Male_x_14-2_Female,plate23,D10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG12_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCG12,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_G12.tif,11-2_Male_x_14-2_Female,plate23,G12,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC7_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC7,12,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C7.tif,11-2_Male_x_14-2_Female,plate24,C7,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH10_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH10,13,15,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_H10.tif,11-2_Male_x_14-2_Female,plate23,H10,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE5_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCE5,13,16,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_E5.tif,11-2_Male_x_14-2_Female,plate23,E5,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC2_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCC2,12,17,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_C2.tif,11-2_Male_x_14-2_Female,plate24,C2,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA3_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate24F2VCA3,13,16,PLATE 24 F2 VC_ Male 11-2 F14 x Female 14-2 F14_A3.tif,11-2_Male_x_14-2_Female,plate24,A3,train
AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH7_AAC2CTTHV_Plate22-25F2_VC_23s001371-1-1_Loosli_lane1Plate23F2VCH7,13,15,PLATE 23 F2 VC_ Male 11-2 F14 x Female 14-2 F14_H7.tif,11-2_Male_x_14-2_Female,plate23,H7,train
